session_id,avg_action_intensity,std_action_intensity,avg_upgrade_ratio,avg_demolish_ratio,avg_build_house_ratio,avg_build_factory_ratio,avg_build_service_ratio,avg_build_supply_ratio,avg_gold_per_population,avg_bad_placement,avg_no_service,avg_population_growth,avg_satisfaction_index,avg_service_growth,avg_gold_growth,avg_supply_growth,std_gold_growth,std_population_growth,std_satisfaction_growth,total_population_growth,total_gold_growth,total_supply_growth,total_ap_growth,supply_efficiency,avg_house_per_turn,avg_factory_per_turn
20260406_022221,0.7523809523809524,0.27715247078727634,0.040637307554600786,0.002070393374741201,0.27526267800703896,0.008458646616541353,0.0115995115995116,0.03883219954648526,3.219868775771219,0.24604829153930102,0.8202506198308331,136.25,0.5515172238095237,0.005,76.7,60.0,647.5264757846626,90.19737130024181,0.131498778604762,2725,1534,1200,2,0.44036697247706424,1.9047619047619047,0.09523809523809523
20260406_024805,0.8293650793650793,0.2693564739391093,0.049832915622389305,0.00873015873015873,0.20444743484616185,0.004761904761904762,0.005952380952380952,0.07644674031228653,4.182215074181853,0.0,0.852780881877762,218.0,0.724245719047619,0.006756755000000001,184.7,168.0,949.0355824952537,195.90894770140972,0.1922080754184395,4360,3694,3360,1,0.7706422018348624,1.7619047619047619,0.047619047619047616
20260406_050133,0.5674603174603174,0.2743414433023701,0.051521661296097386,0.0021645021645021645,0.3364645314225146,0.05042016806722689,0.015873015873015872,0.034357177214320064,3.2753878729362107,0.49900650214149805,0.7983142922279546,111.7,0.5636917904761904,0.004054054,54.75,72.0,768.9967404626012,104.60708439328168,0.19678740165287345,2234,1095,1440,2,0.6445837063563116,1.7619047619047619,0.09523809523809523
20260406_051143,0.4914965986394558,0.2544062620324462,0.0,0.023809523809523808,0.32463192613568564,0.05517762660619804,0.0,0.06462585034013606,8.407124407948286,0.6513582299917703,0.9523809523809523,81.15,0.4940410380952381,0.0,61.35,60.0,596.3163479581164,65.989851691876,0.11001032192324345,1623,1227,1200,4,0.7393715341959335,2.0,0.19047619047619047
20260406_053033,0.5726757369614512,0.23203308643725382,0.009523809523809525,0.0031746031746031746,0.27759792080520374,0.036819172113289764,0.006092672759339426,0.050122934436659924,4.62410316100482,0.5346366469869317,0.9050320349116789,116.55,0.6421271380952381,0.0038043475,119.2,108.0,528.0861771778502,98.4311006691857,0.19481289116100364,2331,2384,2160,5,0.9266409266409267,2.1904761904761907,0.23809523809523808
20260406_144250,0.7260770975056691,0.24967720225002363,0.0,0.002070393374741201,0.1842822767871067,0.01592111592111592,0.021663681146439767,0.05953851625870243,3.947492291441221,0.005479691876750701,0.6227084189649388,206.2,0.7960558952380953,0.016875,175.9,180.0,724.7652905015453,163.216872192862,0.18059227200110864,4124,3518,3600,4,0.8729388942774006,1.9047619047619047,0.19047619047619047
20260406_153046,0.3558750773036487,0.181932288530721,0.023809523809523808,0.0,0.24372895622895624,0.11928811928811929,0.002976190476190476,0.05952380952380952,8.351295814483382,0.6942388369879512,0.9405218025907681,42.8,0.482490580952381,0.003448276,-38.15,36.0,528.9643580670281,51.45524371007446,0.11487948149777744,856,-763,720,9,0.8411214953271028,1.380952380952381,0.42857142857142855
20260406_190336,0.7301587301587302,0.30946275344085555,0.08452380952380951,0.003401360544217687,0.36949538269414045,0.0,0.03061224489795918,0.09356939356939356,4.401075867855473,0.0,0.6192690118399533,196.0,0.7952159619047618,0.010185184999999998,128.85,222.0,1348.884227992275,223.96169785314444,0.17893126656769073,3920,2577,4440,0,1.1326530612244898,1.2857142857142858,0.0
20260406_192845,0.6507936507936507,0.26824927205431887,0.2512744673296916,0.0,0.357010582010582,0.0,0.023809523809523808,0.1836940836940837,3.7611317975182215,0.0,0.6236058467845096,142.95,0.7947822666666666,0.007142854999999998,93.2,174.0,504.283399854111,101.5311593344106,0.17898806589246585,2859,1864,3480,0,1.217208814270724,1.3333333333333333,0.0
20260406_202420,0.7619047619047618,0.26125460427324193,0.111326944660278,0.047619047619047616,0.40420772349343775,0.0,0.0,0.1299147942005085,8.255315676228793,0.0,0.9523809523809523,89.2,0.7619047666666665,0.0,622.0,156.0,1288.1876293541452,46.31766742604245,0.1788854405537445,1784,12440,3120,0,1.748878923766816,1.5238095238095237,0.0
20260406_204247,0.5753968253968255,0.36600770512605363,0.17751494537208823,0.0,0.2359151555358986,0.047619047619047616,0.06607142857142857,0.13787737317149085,3.115128009384192,0.0,0.0923141186299081,168.55,0.8798073952380951,0.041249999999999995,55.0,126.0,749.5018696651657,139.31504433817395,0.1793863752759022,3371,1100,2520,1,0.7475526549985168,0.9523809523809523,0.047619047619047616
20260407_031835,0.6984126984126984,0.325401664694948,0.17275132275132274,0.026984126984126982,0.21869012562289875,0.007936507936507936,0.10676937441643324,0.1567417565316725,2.98725783896654,0.0,0.2511824154681297,242.45,0.8316318190476188,0.041666665000000006,72.0,192.0,634.7083043248665,199.32319034805337,0.18291513334890297,4849,1440,3840,1,0.7919158589399876,0.8571428571428571,0.047619047619047616
20260407_053706,0.7301587301587301,0.34349587768911866,0.180607091321377,0.015873015873015872,0.40839810283087585,0.0,0.04412765106042417,0.08409017453135101,3.1488977186558196,0.0,0.06668728097299526,257.55,0.8702126952380953,0.039285715,122.4,222.0,821.2394611997033,211.72287622217272,0.17906618665982132,5151,2448,4440,0,0.8619685497961561,1.0,0.0
20260407_060112,0.7817460317460316,0.268064293796219,0.12326699685722241,0.0,0.2503233072560804,0.023809523809523808,0.0500233426704015,0.0940610509938241,3.56787307001849,0.038956439373157,0.26156032400633533,179.0,0.8373066285714286,0.027419355,95.35,168.0,656.175383727953,127.47135901221519,0.17970796631078556,3580,1907,3360,1,0.9385474860335196,1.4761904761904763,0.047619047619047616
20260407_061019,0.603174603174603,0.35930562074719774,0.36874633303204735,0.0,0.2481687624544768,0.0,0.04136604136604137,0.13492063492063494,3.7982811540655788,0.0,0.20332860578759854,117.1,0.8428581333333334,0.020833335,34.25,108.0,609.219939111095,88.4652176668441,0.17959885417606442,2342,685,2160,0,0.9222886421861657,1.1428571428571428,0.0
20260407_152925,0.6507936507936508,0.3068874291656375,0.07882395382395382,0.0,0.23731757660329092,0.0,0.06211262282690854,0.14848537705680562,3.019389639455964,0.04729661872519014,0.05555555555555556,136.9,0.8768334857142855,0.05,-27.0,120.0,578.0862255844938,122.37384481471865,0.17867100215258036,2738,-540,2400,0,0.8765522279035792,0.7142857142857143,0.0
20260407_161102,0.5714285714285714,0.30079260375911915,0.17272242230225424,0.0,0.18835978835978834,0.0,0.13677248677248677,0.19444444444444448,2.7773762967185953,0.0,0.0777588813303099,81.3,0.8813660857142855,0.048214285,-88.75,78.0,616.3540400058873,56.28975787925601,0.1784340242932358,1626,-1775,1560,0,0.959409594095941,0.6666666666666666,0.0
20260407_164234,0.8253968253968254,0.2711917652602555,0.18201624083977025,0.0028011204481792717,0.3258828784038868,0.0,0.006802721088435374,0.08586990351696235,4.402952772583008,0.0,0.9071441954675895,197.45,0.7540475095238095,0.004054054,174.65,198.0,722.9463309045984,131.78110838172438,0.18062349992150284,3949,3493,3960,0,1.0027855153203342,1.7619047619047619,0.0
20260408_044845,0.7896825396825397,0.261697248238207,0.11437621832358673,0.0,0.36573244682488376,0.0028011204481792717,0.02976190476190476,0.07246959389816532,3.9595331652971675,0.10548694862806754,0.8937427725001497,183.7,0.6393006619047619,0.005,157.35,114.0,937.4236965439402,137.10545307593677,0.20582956310590228,3674,3147,2280,1,0.6205770277626566,2.142857142857143,0.047619047619047616
20260408_050907,0.5873015873015872,0.363696483726654,0.1672975172975173,0.023809523809523808,0.2568216175359032,0.0,0.15192743764172337,0.12320483749055178,3.779013778364723,0.0,0.047619047619047616,86.55,0.889300519047619,0.046666665,-68.9,78.0,596.1208725894793,65.0711958266927,0.17866603404104328,1731,-1378,1560,0,0.901213171577123,0.7142857142857143,0.0
20260408_060458,0.5263038548752834,0.21684219236384517,0.02747252747252747,0.0,0.29053534457261165,0.10022675736961449,0.0,0.0274672187715666,7.234142805978506,0.2261620780049387,0.9523809523809523,88.1,0.49965249999999994,0.0,83.5,36.0,653.1308807340387,55.69172668406531,0.1349292892568996,1762,1670,720,7,0.4086265607264472,2.5238095238095237,0.3333333333333333
20260408_063605,0.6973922902494331,0.25776699470873016,0.08455855194168367,0.0,0.22235264735264734,0.04327286470143613,0.017515817515817517,0.13046279117707688,3.8532321164311374,0.05624880972265087,0.6937971121977629,196.3,0.7760893047619049,0.015714285,139.0,210.0,674.5113630972932,121.64707364468653,0.18985143316912245,3926,2780,4200,4,1.0697911360163015,1.6666666666666667,0.19047619047619047
